All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_1 3 (Hsymmetricus),Length 38,0:00:07:31.13046/60000,451.217438,-2.08969,43.764671,-18.741991,0.012622,3.034385,118.046616,
Subsample_1 3 (Hsymmetricus),Length 37,0:00:07:30.13987/60000,450.233124,-32.141827,51.129673,-12.135099,0.064821,1.142684,127.695641,
Subsample_1 3 (Hsymmetricus),Length 38,0:00:07:31.13046/60000,451.217438,-6.859645,45.161949,-15.397799,0.031754,0.349084,118.381874,
Subsample_1 3 (Hsymmetricus),Length 37,0:00:07:30.13987/60000,450.233124,-34.44416,46.256004,-14.979653,0.094442,0.977998,125.042145,
Subsample_1 3 (Hsymmetricus),Drift_Forage 26,0:00:07:30.175/60000,450.00293,-37.820744,43.218079,-15.307811,0.109161,0.360614,123.633804,
Subsample_1 4 (Okisutch),Drift_Forage 39,0:00:07:30.175/60000,450.00293,-63.915859,26.408539,-12.904344,0.039356,19.017462,121.187469,
Subsample_1 4 (Okisutch),Drift_Forage 40,0:00:07:36.175/60000,456.00293,-60.074463,24.922956,-11.455062,0.049562,0.009316,117.40554,
Subsample_1 4 (Okisutch),Drift_Forage 41,0:00:07:39.175/60000,459.00293,-58.776703,23.921654,-7.940363,0.049796,0.890663,114.727402,
Subsample_1 4 (Okisutch),Drift_Forage 42,0:00:07:42.175/60000,462.00293,-58.163979,26.754303,-8.557784,0.064523,0.687308,116.770157,
Subsample_1 4 (Okisutch),Drift_Forage 43,0:00:07:45.175/60000,465.00293,-53.881393,33.129017,-15.227497,0.112782,3.729779,121.905907,
Subsample_1 4 (Okisutch),Drift_Forage 44,0:00:07:48.175/60000,468.00293,-51.626377,18.539808,-9.135902,0.069743,1.121808,107.141136,
Subsample_1 4 (Okisutch),Drift_Forage 45,0:00:07:57.175/60000,477.00293,-57.335007,20.989948,-10.292776,0.050515,1.405936,112.513237,
Subsample_1 4 (Okisutch),Drift_Forage 46,0:00:08:00.175/60000,480.00293,-61.872818,30.465042,-14.058218,0.060737,4.296191,123.511711,
Subsample_1 5 (Omykiss),Drift_Forage 47,0:00:07:33.175/60000,453.00293,-65.319443,29.906136,26.234932,0.14042,1.033722,117.083717,
Subsample_1 4 (Okisutch),Length 49,0:00:07:46.56989/60000,466.949829,-55.924065,18.569727,-10.260733,0.05221,1.248494,109.904648,
Subsample_1 4 (Okisutch),Length 48,0:00:07:41.54687/60000,461.911438,-66.766464,27.325933,-9.37536,0.030413,0.90452,122.329559,
Subsample_1 4 (Okisutch),Length 49,0:00:07:46.56989/60000,466.949829,-48.980186,20.094061,-9.757964,0.096697,0.987129,107.203835,
Subsample_1 4 (Okisutch),Length 48,0:00:07:41.54687/60000,461.911438,-59.14817,27.746853,-9.049951,0.062842,0.549778,118.233185,
Subsample_1 4 (Okisutch),Length 50,0:00:07:47.9001/60000,467.150024,-56.079735,18.17417,-9.788378,0.052064,1.278625,109.524185,
Subsample_1 4 (Okisutch),Length 50,0:00:07:47.9001/60000,467.150024,-48.843433,19.497038,-9.416049,0.094254,0.481053,106.542824,
Subsample_1 5 (Omykiss),Length 51,0:00:07:33.19172/60000,453.319519,-55.593418,30.175482,25.366133,0.162115,0.636356,111.763947,
Subsample_1 5 (Omykiss),Length 51,0:00:07:33.19172/60000,453.319519,-60.120331,28.844545,24.326925,0.139058,2.011479,113.241585,
Subsample_1 5 (Omykiss),Drift_Forage 52,0:00:07:36.175/60000,456.00293,-67.043137,27.989119,21.746706,0.095086,0.589072,116.842484,
Subsample_1 5 (Omykiss),Length 55,0:00:07:35.175/60000,455.00293,-60.374073,23.859068,20.002932,0.083257,0.448266,109.666039,
Subsample_1 5 (Omykiss),Length 55,0:00:07:35.175/60000,455.00293,-55.973694,25.982594,19.461597,0.092383,0.685372,108.888626,
Subsample_1 5 (Omykiss),Drift_Forage 53,0:00:07:39.175/60000,459.00293,-63.487942,26.616402,20.226458,0.089751,1.08069,113.707581,
Subsample_1 5 (Omykiss),Drift_Forage 56,0:00:07:58.175/60000,478.00293,-54.914127,40.155903,19.162989,0.125113,0.948008,120.309288,
Subsample_1 5 (Omykiss),Length 58,0:00:07:59.42754/60000,479.712555,-22.450579,37.301559,9.077391,0.018982,1.711761,106.611717,
Subsample_1 6 (Omykiss),Search_Forage 59,0:00:07:45.175/60000,465.00293,-52.250515,14.639797,-9.305458,0.057592,0.8849,104.586617,
Subsample_1 5 (Omykiss),Drift_Forage 57,0:00:08:00.175/60000,480.00293,-13.957757,38.783051,6.058285,0.027554,1.216442,106.799622,
